ID,D,Rockfraction,S,FractionSand,Sand%,Texture,Texture2,fr
21A20_2,0.008401662,3.74546919,97.17277487,0.03854443,3.854442971,Silt,96.14555703,0.03854443
21A20_2,0.006033156,3.262182843,97.17277487,0.033570955,3.357095491,Silt,96.64290451,0.033570955
21A20_2,0.001649641,2.790978655,97.17277487,0.028721817,2.872181698,Clay,97.1278183,0.028721817
21A20_2,0.001254642,2.785614176,97.17277487,0.028666611,2.866661141,Clay,97.13333886,0.028666611
21A20_2,0.001136483,2.674748288,97.17277487,0.027525696,2.752569629,Clay,97.24743037,0.027525696
21A20_2,0.001083471,2.543971003,97.17277487,0.026179874,2.617987401,Clay,97.3820126,0.026179874
21A20_2,0.000788147,2.433105115,97.17277487,0.025038959,2.503895889,Clay,97.49610411,0.025038959
3A20_1,2,92.7919708,92.7919708,1,100,Sand,0,1
3A20_1,1,65.60218978,92.7919708,0.706981318,70.69813176,Sand,29.30186824,0.706981318
3A20_1,0.5,39.50729927,92.7919708,0.425762045,42.57620452,Sand,57.42379548,0.425762045
3A20_1,0.25,20.25547445,92.7919708,0.218289086,21.82890855,Sand,78.17109145,0.218289086
3A20_1,0.15,11.22262774,92.7919708,0.120943953,12.09439528,Sand,87.90560472,0.120943953
3A20_1,0.048110539,7.642064701,92.7919708,0.082356961,8.235696079,Silt,91.76430392,0.082356961
3A20_1,0.037032245,6.988319396,92.7919708,0.075311682,7.531168199,Silt,92.4688318,0.075311682
3A20_1,0.028670821,6.770404295,92.7919708,0.072963256,7.296325572,Silt,92.70367443,0.072963256
3A20_1,0.024938324,6.552489193,92.7919708,0.070614829,7.061482945,Silt,92.93851705,0.070614829
3A20_1,0.020538354,6.334574091,92.7919708,0.068266403,6.826640318,Silt,93.17335968,0.068266403
3A20_1,0.016133559,5.78564595,92.7919708,0.062350717,6.235071742,Silt,93.76492826,0.062350717
3A20_1,0.012703385,5.567730848,92.7919708,0.060002291,6.000229115,Silt,93.99977089,0.060002291
3A20_1,0.010606234,5.229962441,92.7919708,0.05636223,5.636223043,Silt,94.36377696,0.05636223
3A20_1,0.007848932,4.794132237,92.7919708,0.051665378,5.16653779,Silt,94.83346221,0.051665378
3A20_1,0.005768191,4.358302034,92.7919708,0.046968525,4.696852536,Silt,95.30314746,0.046968525
3A20_1,0.001547382,3.606494933,92.7919708,0.038866455,3.886645474,Clay,96.11335453,0.038866455
3A20_1,0.001186741,3.601657218,92.7919708,0.03881432,3.881431967,Clay,96.11856803,0.03881432
3A20_1,0.00107692,3.501677769,92.7919708,0.037736862,3.77368617,Clay,96.22631383,0.037736862
3A20_1,0.00100766,3.501677769,92.7919708,0.037736862,3.77368617,Clay,96.22631383,0.037736862
3A20_1,0.000752632,3.501677769,92.7919708,0.037736862,3.77368617,Clay,96.22631383,0.037736862
2C20_2,2,92.36024845,92.36024845,1,100,Sand,0,1
2C20_2,1,84.8447205,92.36024845,0.91862811,91.86281103,Sand,8.137188971,0.91862811
2C20_2,0.5,71.05590062,92.36024845,0.76933423,76.933423,Sand,23.066577,0.76933423
2C20_2,0.25,43.16770186,92.36024845,0.467383995,46.73839946,Sand,53.26160054,0.467383995
2C20_2,0.15,23.78881988,92.36024845,0.257565568,25.75655683,Sand,74.24344317,0.257565568
2C20_2,0.049221784,14.81327504,92.36024845,0.160385829,16.03858293,Silt,83.96141707,0.160385829
2C20_2,0.036622179,12.50368088,92.36024845,0.135379463,13.53794634,Silt,86.46205366,0.135379463
2C20_2,0.030261439,10.65600555,92.36024845,0.115374371,11.53743708,Silt,88.46256292,0.115374371
2C20_2,0.027587191,10.19408672,92.36024845,0.110373098,11.03730976,Silt,88.96269024,0.110373098
2C20_2,0.026649072,8.106675511,92.36024845,0.087772344,8.777234413,Silt,91.22276559,0.087772344
2C20_2,0.01716662,7.182837846,92.36024845,0.077769798,7.776979779,Silt,92.22302022,0.077769798
2C20_2,0.011423118,6.720919013,92.36024845,0.072768525,7.276852462,Silt,92.72314754,0.072768525
